source_system,source_order_id,customer_mobile,customer_email,customer_name,order_date,amount_inr,items_count,category,store_id
pos,POS-0000048,8242585689,jaya_naidu1336@hotmail.com,Jaya Naidu,2025-09-24 00:00:00,654.98,1,Coffee Beans 250g,HYD-01
pos,POS-0000049,9567183448,sandeep.ahmed1138@yahoo.com,Sandeep Ahmed,2025-09-02 11:00:00,644.43,2,Cold Brew,DEL-01
ecommerce,ECO-0000050,7455170142,kiran.mishra973@gmail.com,Kiran Mishra,2025-11-17 15:00:00,901.69,1,Merchandise,online
pos,POS-0000051,7373213569,divyapandey997@rediffmail.com,Divya Pandey,2025-12-29 21:00:00,385.91,1,Cold Brew,DEL-02
ecommerce,ECO-0000052,9090646090,anjali.singh1411@rediffmail.com,Anjali Singh,2026-04-13 16:00:00,513.18,2,Cappuccino,online
loyalty,LOY-0000053,9070180692,bhavanapatel600@rediffmail.com,Bhavana Patel,2025-09-24 22:00:00,4304.01,1,Bulk Order,online
pos,POS-0000054,9567183448,sandeep.ahmed1138@yahoo.com,Sandeep Ahmed,2026-05-17 21:00:00,234.32,1,Pastry,DEL-02
pos,POS-0000055,8274647748,pallavipatel738@outlook.com,Pallavi Patel,2026-05-21 13:00:00,898.51,2,Coffee Beans 250g,BLR-03
ecommerce,ECO-0000056,8221393124,sapna_mishra1462@gmail.com,Sapna Mishra,2026-01-06 23:00:00,769.63,3,Espresso,online
loyalty,LOY-0000057,9507948816,ananyaroy1149@outlook.com,Ananya Roy,2026-06-06 22:00:00,986.31,2,Coffee Beans 250g,online
ecommerce,ECO-0000058,8322761377,ashokhussain1372@yahoo.com,Ashok Hussain,2026-06-01 11:00:00,4734.94,1,Bulk Order,online
loyalty,LOY-0000059,8577808053,pratiksha_gupta412@gmail.com,Pratiksha Gupta,2026-05-18 22:00:00,531.14,2,Espresso,online
ecommerce,ECO-0000060,9657351134,rashmi.verma1053@yahoo.com,Rashmi Verma,2026-03-01 00:00:00,651.51,3,Pastry,online
loyalty,LOY-0000061,8280642118,sureshsheikh460@yahoo.com,Suresh Sheikh,2025-08-12 06:00:00,238.64,1,Sandwich,online
loyalty,LOY-0000062,7757008310,ayeshahussain793@rediffmail.com,Ayesha Hussain,2025-09-10 07:00:00,153.65,1,Pastry,online
pos,POS-0000063,7172967544,anjalidas174@gmail.com,Anjali Das,2026-04-06 19:00:00,204.68,1,Sandwich,BLR-03
pos,POS-0000064,8407929112,rohan_sheikh838@hotmail.com,Rohan Sheikh,2025-09-14 15:00:00,197.67,1,Espresso,HYD-01
pos,POS-0000065,9030968559,rohit.qureshi563@gmail.com,Rohit Qureshi,2026-04-30 15:00:00,223.13,1,Sandwich,BLR-03
pos,POS-0000066,8858277208,bhavana_ahmed557@yahoo.com,Bhavana Ahmed,2025-08-10 11:00:00,1462.1,3,Coffee Beans 250g,CHE-01
ecommerce,ECO-0000067,9071089996,poojapillai1065@hotmail.com,Pooja Pillai,2026-05-16 02:00:00,180.97,1,Sandwich,online
loyalty,LOY-0000068,9403710728,amitahmed490@rediffmail.com,Amit Ahmed,2026-05-21 05:00:00,741.5,2,Cold Brew,online
pos,POS-0000069,8463627393,anjali.bhat689@yahoo.com,Anjali Bhat,2026-04-18 05:00:00,14717.71,4,Bulk Order,PUN-01
pos,POS-0000070,8361366969,nitin_saxena35@rediffmail.com,Nitin Saxena,2026-05-07 00:00:00,697.84,2,Sandwich,MUM-01
ecommerce,ECO-0000071,8842268623,ananyahussain1019@rediffmail.com,Ananya Hussain,2025-12-10 17:00:00,231.52,1,Espresso,online
ecommerce,ECO-0000072,9048555842,aditya.bose737@hotmail.com,Aditya Bose,2026-05-24 22:00:00,342.26,1,Sandwich,online
ecommerce,ECO-0000073,7646075655,harishbansal898@outlook.com,Harish Bansal,2026-05-09 00:00:00,330.51,1,Sandwich,online
loyalty,LOY-0000074,9737792982,meghaagarwal1142@hotmail.com,Megha Agarwal,2025-12-29 16:00:00,1804.21,1,Bulk Order,online
pos,POS-0000075,9716043181,aliyasingh384@hotmail.com,Aliya Singh,2026-04-07 01:00:00,1439.78,1,Bulk Order,PUN-01
pos,POS-0000076,8479933406,pooja.nair153@yahoo.com,Pooja Nair,2025-12-04 00:00:00,2531.18,1,Bulk Order,DEL-01
pos,POS-0000077,7121778266,megha_verma1032@rediffmail.com,Megha Verma,2026-05-09 15:00:00,857.91,1,Merchandise,PUN-01
pos,POS-0000078,9617506989,soniachatterjee655@hotmail.com,Sonia Chatterjee,2026-05-23 00:00:00,218.43,1,Pastry,BLR-01
loyalty,LOY-0000079,8960020392,sonia_ali1254@gmail.com,Sonia Ali,2026-05-22 13:00:00,336.51,1,Cold Brew,online
pos,POS-0000080,8117555731,swatibose1282@outlook.com,Swati Bose,2026-02-16 05:00:00,1774.44,3,Coffee Beans 250g,HYD-01
pos,POS-0000081,8945901049,yash.chatterjee617@yahoo.com,Yash Chatterjee,2025-09-29 04:00:00,430.03,2,Espresso,MUM-01
ecommerce,ECO-0000082,7574918300,geeta.pillai67@hotmail.com,Geeta Pillai,2026-01-08 08:00:00,238.36,1,Espresso,online
ecommerce,ECO-0000083,7421923342,anil.mehta225@gmail.com,Anil Mehta,2025-12-29 01:00:00,1719.82,2,Merchandise,online
loyalty,LOY-0000084,8706761617,pooja_hussain56@outlook.com,Pooja Hussain,2026-03-27 17:00:00,702.09,2,Sandwich,online
loyalty,LOY-0000085,8118580428,rakesh_saxena1016@hotmail.com,Rakesh Saxena,2025-11-09 09:00:00,174.52,1,Pastry,online
loyalty,LOY-0000086,8276137782,kunalsen849@yahoo.com,Kunal Sen,2025-11-09 10:00:00,618.63,1,Merchandise,online
ecommerce,ECO-0000087,8540109116,sonia.sheikh140@hotmail.com,Sonia Sheikh,2026-04-09 08:00:00,1922.87,2,Merchandise,online
pos,POS-0000088,9387232434,pratiksha.chatterjee18@gmail.com,Pratiksha Chatterjee,2025-11-07 05:00:00,3216.64,3,Merchandise,DEL-02
pos,POS-0000089,9536314300,riyabhat580@outlook.com,Riya Bhat,2026-05-24 03:00:00,1778.66,1,Bulk Order,DEL-02
ecommerce,ECO-0000090,9875814197,karthik.agarwal863@hotmail.com,Karthik Agarwal,2026-05-26 01:00:00,980.18,3,Cold Brew,online
loyalty,LOY-0000091,8556568648,nikhil_patel72@outlook.com,Nikhil Patel,2026-05-14 14:00:00,627.23,1,Coffee Beans 250g,online
ecommerce,ECO-0000092,9722647953,kavyakrishnan438@gmail.com,Kavya Krishnan,2026-02-17 19:00:00,341.28,1,Cold Brew,online
ecommerce,ECO-0000093,7003347214,sureshroy1048@gmail.com,Suresh Roy,2026-05-09 21:00:00,309.15,1,Sandwich,online
loyalty,LOY-0000094,9722488754,deepakmalhotra436@yahoo.com,Deepak Malhotra,2026-01-22 17:00:00,187.98,1,Espresso,online
loyalty,LOY-0000095,9661913565,tara.khan1197@rediffmail.com,Tara Khan,2026-05-29 03:00:00,1371.08,2,Coffee Beans 250g,online
ecommerce,ECO-0000096,7059353173,sapna_bose1012@hotmail.com,Sapna Bose,2025-07-30 20:00:00,1579.36,3,Coffee Beans 250g,online
loyalty,LOY-0000097,9350157861,amit.mukherjee593@rediffmail.com,Amit Mukherjee,2026-02-11 15:00:00,205.29,1,Cappuccino,online
loyalty,LOY-0000098,7119661079,megha_singh722@yahoo.com,Megha Singh,2025-10-05 09:00:00,615.93,3,Espresso,online
pos,POS-0000099,9029714321,rahul_roy271@rediffmail.com,Rahul Roy,2026-02-11 01:00:00,316.68,1,Sandwich,BLR-03
loyalty,LOY-0000100,7127481092,arjun_gupta740@yahoo.com,Arjun Gupta,2026-04-17 09:00:00,857.86,2,Coffee Beans 250g,online
loyalty,LOY-0000101,9469189930,manishagarwal135@rediffmail.com,Manish Agarwal,2026-05-23 13:00:00,4032.62,3,Merchandise,online
loyalty,LOY-0000102,7388112301,rakesh.mishra413@yahoo.com,Rakesh Mishra,2026-03-03 11:00:00,290.3,1,Cappuccino,online
ecommerce,ECO-0000103,7989761644,faisal_pandey123@yahoo.com,Faisal Pandey,2026-02-07 10:00:00,571.21,2,Cappuccino,online
pos,POS-0000104,8573309258,asha_choudhary171@yahoo.com,Asha Choudhary,2026-03-28 18:00:00,247.35,1,Pastry,DEL-02
ecommerce,ECO-0000105,9750241959,tarunsheikh1374@rediffmail.com,Tarun Sheikh,2026-05-28 21:00:00,327.85,1,Espresso,online
pos,POS-0000106,9494993141,arjunmalhotra214@yahoo.com,Arjun Malhotra,2026-06-08 09:00:00,1726.07,2,Merchandise,CHE-01
pos,POS-0000107,7654543891,saurabh.khan1323@rediffmail.com,Saurabh Khan,2026-03-29 01:00:00,214.9,1,Cappuccino,MUM-01
pos,POS-0000108,8096504804,priya.kapoor1441@rediffmail.com,Priya Kapoor,2026-03-08 15:00:00,632.66,2,Sandwich,BLR-02
pos,POS-0000109,9335002311,sapna_chatterjee356@hotmail.com,Sapna Chatterjee,2026-03-19 01:00:00,245.18,1,Espresso,CHE-01
ecommerce,ECO-0000110,9291563587,saurabh.bansal938@gmail.com,Saurabh Bansal,2026-02-26 08:00:00,1849.61,2,Merchandise,online
pos,POS-0000111,7385138553,madhurichoudhary668@hotmail.com,Madhuri Choudhary,2026-04-29 17:00:00,3802.66,3,Bulk Order,DEL-02
ecommerce,ECO-0000112,8703929612,geeta.verma1082@yahoo.com,Geeta Verma,2026-05-03 11:00:00,650.7,3,Espresso,online
ecommerce,ECO-0000113,8902139940,aditya.krishnan223@gmail.com,Aditya Krishnan,2026-02-28 01:00:00,3149.29,3,Merchandise,online
pos,POS-0000114,7373213569,divyapandey997@rediffmail.com,Divya Pandey,2026-05-29 07:00:00,2898.25,2,Merchandise,BLR-02
ecommerce,ECO-0000115,7371312477,rajeshgupta159@gmail.com,Rajesh Gupta,2026-04-10 04:00:00,585.36,2,Espresso,online
loyalty,LOY-0000116,8201848462,shreya.tiwari304@yahoo.com,Shreya Tiwari,2025-11-03 12:00:00,2291.09,2,Merchandise,online
ecommerce,ECO-0000117,8456379103,varun.nair1240@hotmail.com,Varun Nair,2026-05-24 14:00:00,596.19,3,Cappuccino,online
pos,POS-0000118,9282282196,nishabanerjee950@hotmail.com,Nisha Banerjee,2025-12-08 03:00:00,1231.52,1,Merchandise,DEL-02
pos,POS-0000119,9721995178,swati.hussain829@yahoo.com,Swati Hussain,2026-04-29 10:00:00,217.18,1,Sandwich,HYD-01
loyalty,LOY-0000120,9945462350,ananyaali227@gmail.com,Ananya Ali,2025-11-11 07:00:00,839.94,3,Cappuccino,online
loyalty,LOY-0000121,9380792859,mahesh.bose187@gmail.com,Mahesh Bose,2026-06-03 19:00:00,672.27,4,Pastry,online
loyalty,LOY-0000122,9386442515,swati.iyer516@outlook.com,Swati Iyer,2026-04-20 15:00:00,185.79,1,Sandwich,online
ecommerce,ECO-0000123,9609433192,kiran.desai1480@outlook.com,Kiran Desai,2025-12-16 15:00:00,3782.72,1,Bulk Order,online
ecommerce,ECO-0000124,7560275599,divya.mishra1427@yahoo.com,Divya Mishra,2026-03-07 05:00:00,291.98,1,Sandwich,online
pos,POS-0000125,8171945659,lakshmi.mehta963@hotmail.com,Lakshmi Mehta,2026-04-02 00:00:00,2645.36,4,Coffee Beans 250g,BLR-03
loyalty,LOY-0000126,9617097816,divyasubramanian169@gmail.com,Divya Subramanian,2025-10-27 16:00:00,231.18,1,Pastry,online
loyalty,LOY-0000127,7701060750,nishaqureshi230@gmail.com,Nisha Qureshi,2025-08-27 17:00:00,4137.22,1,Bulk Order,online
ecommerce,ECO-0000128,9642632673,asha_naidu1226@hotmail.com,Asha Naidu,2026-05-07 21:00:00,687.5,2,Cappuccino,online
pos,POS-0000129,7569514316,tarun_choudhary1299@outlook.com,Tarun Choudhary,2026-06-08 07:00:00,2943.56,2,Merchandise,DEL-02
loyalty,LOY-0000130,7128558975,tara_pillai1439@hotmail.com,Tara Pillai,2026-05-27 20:00:00,351.62,1,Sandwich,online
pos,POS-0000131,8877201711,meerapatel943@gmail.com,Meera Patel,2025-12-03 15:00:00,659.55,1,Coffee Beans 250g,BLR-03
ecommerce,ECO-0000132,9994655954,rekhayadav1359@outlook.com,Rekha Yadav,2026-05-26 21:00:00,308.34,1,Cappuccino,online
pos,POS-0000133,7345514384,deepak_malhotra424@hotmail.com,Deepak Malhotra,2026-05-04 17:00:00,580.67,1,Merchandise,MUM-02
loyalty,LOY-0000134,9685196131,kiranpillai1265@outlook.com,Kiran Pillai,2026-05-11 17:00:00,5756.12,2,Bulk Order,online
pos,POS-0000135,9000277819,latha.menon158@hotmail.com,Latha Menon,2026-05-02 15:00:00,500.05,2,Cappuccino,HYD-01
loyalty,LOY-0000136,9993091959,anilroy764@outlook.com,Anil Roy,2026-05-28 02:00:00,425.65,3,Pastry,online
ecommerce,ECO-0000137,7789931806,anjali_choudhary1396@gmail.com,Anjali Choudhary,2026-06-03 23:00:00,279.64,1,Cold Brew,online
pos,POS-0000138,9531263127,komal_pandey119@outlook.com,Komal Pandey,2026-05-14 13:00:00,5825.96,3,Bulk Order,HYD-01
pos,POS-0000139,7478292886,pooja_mishra326@yahoo.com,Pooja Mishra,2026-04-28 01:00:00,852.97,4,Cappuccino,MUM-02
loyalty,LOY-0000140,7898486802,anjali.krishnan1454@hotmail.com,Anjali Krishnan,2026-03-21 02:00:00,250.1,1,Sandwich,online
loyalty,LOY-0000141,7761550184,yashmehta1483@yahoo.com,Yash Mehta,2026-02-16 20:00:00,832.62,3,Cold Brew,online
pos,POS-0000142,7078937696,lakshmi.khan569@gmail.com,Lakshmi Khan,2026-05-05 01:00:00,236.94,1,Espresso,BLR-01
pos,POS-0000143,9953287732,aishwaryashah1354@yahoo.com,Aishwarya Shah,2025-10-24 08:00:00,720.17,1,Coffee Beans 250g,BLR-01
loyalty,LOY-0000144,9722488754,deepakmalhotra436@yahoo.com,Deepak Malhotra,2025-05-19 03:00:00,2803.66,2,Merchandise,online
pos,POS-0000145,9071089996,poojapillai1065@hotmail.com,Pooja Pillai,2026-05-06 01:00:00,584.69,2,Espresso,CHE-01
pos,POS-0000146,9597896194,akash.reddy1474@yahoo.com,Akash Reddy,2026-05-12 18:00:00,301.06,1,Cappuccino,BLR-01
loyalty,LOY-0000147,8811357064,amit.naidu410@outlook.com,Amit Naidu,2026-01-22 09:00:00,197.21,1,Espresso,online
loyalty,LOY-0000148,9380517706,hemantsaxena26@hotmail.com,Hemant Saxena,2026-01-19 17:00:00,1100.68,2,Coffee Beans 250g,online
ecommerce,ECO-0000149,8307857118,rohitkapoor1114@gmail.com,Rohit Kapoor,2026-05-17 17:00:00,198.3,1,Sandwich,online
ecommerce,ECO-0000150,9611238652,sanjay_kumar1212@outlook.com,Sanjay Kumar,2026-06-07 14:00:00,264.6,1,Cappuccino,online
pos,POS-0000151,7903725038,mohan.verma132@gmail.com,Mohan Verma,2025-02-09 20:00:00,245.59,1,Cappuccino,CHE-01
pos,POS-0000152,7660478003,aliya_naidu613@yahoo.com,Aliya Naidu,2026-05-19 22:00:00,524.96,3,Espresso,DEL-01
pos,POS-0000153,8516155961,anil_naidu80@gmail.com,Anil Naidu,2026-06-06 12:00:00,179.14,1,Pastry,CHE-01
loyalty,LOY-0000154,9287946715,rakeshpillai1029@rediffmail.com,Rakesh Pillai,2026-06-07 21:00:00,301.65,1,Sandwich,online
loyalty,LOY-0000155,7560568150,pranav_sen1366@gmail.com,Pranav Sen,2026-05-29 17:00:00,1376.16,1,Merchandise,online
ecommerce,ECO-0000156,9048555842,aditya.bose737@hotmail.com,Aditya Bose,2025-05-30 18:00:00,315.42,1,Espresso,online
pos,POS-0000157,7564706986,asha.iyer1177@gmail.com,Asha Iyer,2026-05-01 23:00:00,597.28,2,Cappuccino,MUM-01
pos,POS-0000158,8160707975,aartiverma1415@outlook.com,Aarti Verma,2025-06-27 23:00:00,431.34,2,Sandwich,BLR-02
loyalty,LOY-0000159,7479605992,harish.singh190@yahoo.com,Harish Singh,2026-06-06 10:00:00,243.27,1,Espresso,online
ecommerce,ECO-0000160,8330897344,gaurav_ahmed259@yahoo.com,Gaurav Ahmed,2025-12-17 05:00:00,304.03,1,Sandwich,online
ecommerce,ECO-0000161,9109430472,anil.pillai1067@hotmail.com,Anil Pillai,2025-06-22 13:00:00,261.73,1,Espresso,online
ecommerce,ECO-0000162,8026284844,nitinbose1281@outlook.com,Nitin Bose,2026-05-24 07:00:00,682.23,1,Coffee Beans 250g,online
loyalty,LOY-0000163,9080868876,aliyamukherjee1211@yahoo.com,Aliya Mukherjee,2026-01-05 14:00:00,487.7,2,Cold Brew,online
loyalty,LOY-0000164,7238636478,ritu_saxena292@yahoo.com,Ritu Saxena,2026-03-02 07:00:00,260.53,1,Espresso,online
pos,POS-0000165,8025277936,smita_pillai1198@outlook.com,Smita Pillai,2026-03-10 01:00:00,291.38,1,Cappuccino,BLR-02
ecommerce,ECO-0000166,8001924015,adityamehta1274@yahoo.com,Aditya Mehta,2026-05-29 12:00:00,673.37,3,Pastry,online
pos,POS-0000167,8707458987,shreya_pillai245@rediffmail.com,Shreya Pillai,2026-06-03 01:00:00,218.45,1,Espresso,BLR-03
loyalty,LOY-0000168,7646075655,harishbansal898@outlook.com,Harish Bansal,2026-05-22 13:00:00,311.52,2,Pastry,online
loyalty,LOY-0000169,7238588232,vinay_mehta318@yahoo.com,Vinay Mehta,2026-02-02 23:00:00,270.82,1,Sandwich,online
ecommerce,ECO-0000170,8355231917,sneha.iyer533@yahoo.com,Sneha Iyer,2026-03-29 01:00:00,896.81,2,Coffee Beans 250g,online
ecommerce,ECO-0000171,8679174516,saurabhhussain587@hotmail.com,Saurabh Hussain,2026-04-12 07:00:00,2025.59,2,Merchandise,online
loyalty,LOY-0000172,9538176029,trishamalhotra882@yahoo.com,Trisha Malhotra,2026-01-08 12:00:00,198.54,1,Espresso,online
loyalty,LOY-0000173,9263536872,anil.mukherjee886@hotmail.com,Anil Mukherjee,2026-03-11 15:00:00,304.2,1,Cold Brew,online
ecommerce,ECO-0000174,7796502788,nikhil_shah781@yahoo.com,Nikhil Shah,2026-04-04 15:00:00,605.59,3,Sandwich,online
ecommerce,ECO-0000175,7800582398,pranav.kumar323@outlook.com,Pranav Kumar,2026-04-15 01:00:00,741.32,3,Sandwich,online
loyalty,LOY-0000176,7357506994,aliyasen1068@hotmail.com,Aliya Sen,2025-09-13 02:00:00,232.34,1,Cold Brew,online
pos,POS-0000177,8260121550,ayeshamenon565@outlook.com,Ayesha Menon,2026-04-18 13:00:00,841.09,1,Merchandise,HYD-01
pos,POS-0000178,8813702517,sandeep_sen378@outlook.com,Sandeep Sen,2026-04-20 11:00:00,290.02,1,Cappuccino,HYD-01
ecommerce,ECO-0000179,7722232074,mohan_naidu302@hotmail.com,Mohan Naidu,2026-05-13 00:00:00,458.93,2,Sandwich,online
loyalty,LOY-0000180,7119661079,megha_singh722@yahoo.com,Megha Singh,2025-12-27 00:00:00,1073.14,1,Merchandise,online
pos,POS-0000181,7504390077,aditya_mishra145@outlook.com,Aditya Mishra,2026-05-11 13:00:00,108.48,1,Pastry,HYD-01
loyalty,LOY-0000182,9744389452,sandeepahmed1330@outlook.com,Sandeep Ahmed,2026-01-15 08:00:00,551.92,1,Coffee Beans 250g,online
ecommerce,ECO-0000183,8355627911,riya.yadav748@rediffmail.com,Riya Yadav,2026-04-23 18:00:00,3767.34,1,Bulk Order,online
ecommerce,ECO-0000184,9048555842,aditya.bose737@hotmail.com,Aditya Bose,2026-03-16 07:00:00,1002.49,4,Cappuccino,online
pos,POS-0000185,7476325174,ananya_pillai422@yahoo.com,Ananya Pillai,2026-05-06 20:00:00,487.19,2,Cappuccino,CHE-01
loyalty,LOY-0000186,9014149621,rashmi_banerjee1070@outlook.com,Rashmi Banerjee,2026-04-18 17:00:00,187.75,1,Cappuccino,online
pos,POS-0000187,9335002311,sapna_chatterjee356@hotmail.com,Sapna Chatterjee,2026-05-08 17:00:00,523.29,2,Espresso,DEL-01
ecommerce,ECO-0000188,9025694661,anjali_gupta857@hotmail.com,Anjali Gupta,2026-03-21 16:00:00,648.7,1,Coffee Beans 250g,online
pos,POS-0000189,7762098725,abhishekmehta415@rediffmail.com,Abhishek Mehta,2026-05-17 07:00:00,780.02,1,Merchandise,BLR-01
pos,POS-0000190,7801492394,pratikshakhanna1176@rediffmail.com,Pratiksha Khanna,2026-04-08 18:00:00,571.06,2,Cappuccino,HYD-01
ecommerce,ECO-0000191,8649701023,ayesha_saxena1347@yahoo.com,Ayesha Saxena,2026-05-19 02:00:00,332.45,1,Cold Brew,online
ecommerce,ECO-0000192,8728395965,meera_singh1033@rediffmail.com,Meera Singh,2026-02-22 17:00:00,491.96,2,Cappuccino,online
pos,POS-0000193,9526671810,varun.chatterjee591@hotmail.com,Varun Chatterjee,2026-05-11 21:00:00,1014.58,4,Sandwich,PUN-01
