email,full_name,total_orders,total_spent_inr,signup_date,city,accepts_marketing
geeta.pillai67@hotmail.com,Geeta Pillai,1,299.08,2025-06-02,Hyderabad,yes
akash.hussain69@hotmail.com,Akash Hussain,6,1726.94,2024-10-21,Mumbai,yes
geetaali70@gmail.com,G. Ali,2,936.7,2026-03-19,Gurugram,yes
tarun_qureshi71@outlook.com,Tarun Qureshi,3,2010.7,2024-08-03,Mumbai,no
gaurav.chatterjee77@rediffmail.com,Gaurav Chatterjee,5,3449.63,2025-09-14,Jaipur,yes
rahulhussain79@yahoo.com,Rahul H.,9,4694.08,2026-03-10,Ahmedabad,no
divyashah81@outlook.com,D. Shah,7,2057.31,2025-07-11,Gurugram,yes
naveen.subramanian82@yahoo.com,Naveen Subramanian,2,1321.12,2025-03-16,Ahmedabad,yes
nisha.sheikh85@yahoo.com,Nisha S.,7,2607.73,2025-05-31,Noida,yes
siddharthpatle86@outlook.com,Siddharth Patel,11,5478.87,2026-03-04,Chennai,yes
priya_reddy87@outlook.com,Priya Reddy,5,1426.45,2025-08-15,Indore,no
kunal.banerjee89@gmail.com,Kunal Banerjee,2,1404.51,2026-01-21,Kolkata,yes
rashmi.rao91@yahoo.com,R. Rao,2,1137.45,2025-01-25,Ahmedabad,no
riya.nair92@hotmail.com,Riya Nair,0,0.0,2025-02-26,Delhi,yes
naveennair93@rediffmail.com,Naveen Nair,5,3400.0,2025-09-06,Surat,yes
tarasaxena94@rediffmail.com,Tara Saxena,22,14878.83,2024-11-30,Chennai,yes
amit.banerjee95@outlook.com,A. Banerjee,17,9332.94,2025-07-16,Hyderabad,yes
ananyanair97@gmail.com,Ananya Nair,8,4397.71,2025-06-16,Chennai,no
aarti_singh98@hotmail.com,Aarti Singh,1,498.38,2024-07-16,Surat,yes
aarti.sharma100@outlook.com,Aarti S.,0,0.0,2024-09-24,Jaipur,yes
zarasheikh101@rediffmail.com,Zara Sheikh,2,831.49,2025-02-19,Mumbai,yes
arjunahmed103@rediffmail.com,Arjun Ahmed,2,1067.54,2024-09-07,Delhi,yes
divya.pillai104@rediffmail.com,Divya Pillai,4,1167.42,2025-02-04,Surat,yes
tarun_sharma106@rediffmail.com,Tarun Sharma,1,308.42,2025-12-10,Chandigarh,no
neh_anair107@yahoo.com,Neha Nair,1,588.35,2025-04-15,Pune,yes
abhishekpillai108@gmail.com,Abhishek Pillai,8,2854.34,2025-07-18,Chandigarh,yes
faisal_reddy110@gmail.com,Faisal Reddy,1,367.47,2025-05-17,Chennai,yes
rajesh_malhotra113@gmail.com,R. Malhotra,0,0.0,2024-07-22,Kochi,yes
tarunali116@gmail.com,Tarun Ali,0,0.0,2025-11-15,Bengaluru,yes
imran.pillai118@outlook.com,imran pillai,4,2472.8,2025-08-27,Gurugram,no
abhishek_naidu122@hotmail.com,Abhishek Naidu,1,545.25,2024-12-10,Bengaluru,yes
faisal_pandey123@yahoo.com,Faisal Pandey,5,1936.41,2024-10-18,Kochi,yes
akash.khanna124@gmail.com,Akash Khanna,8,3433.36,2024-11-16,Indore,yes
sushmadesai126@hotmail.com,Sushma Desai,19,6987.97,2024-07-20,Kolkata,yes
swatimalhotra127@gmail.com,Swati Malhotra,0,0.0,2025-12-25,Bengaluru,no
smita.tiwari128@gmail.com,Smita Tiwari,3,1596.45,2024-08-31,Surat,yes
pratiksha_reddy129@yahoo.com,Pratiksha Reddy,7,3870.95,2025-01-07,Pune,yes
bhavana_malhotra130@yahoo.com,Bhavana Malhotra,4,1158.95,2024-10-18,Surat,yes
trisha.singh131@hotmail.com,Trisha Singh,8,2304.02,2025-11-05,Surat,yes
mohan.verma132@gmail.com,Mohan V.,12,6551.74,2025-07-27,Chandigarh,yes
sapna.verma133@yahoo.com,Sapna Verma,6,3186.25,2024-11-17,Delhi,yes
sanjay_chatterjee134@gmail.com,Sanjay Chatterjee,16,7489.17,2025-02-10,Bengaluru,no
mohanal1i36@gmail.com,Mohan Ali,4,1201.4,2024-06-27,Jaipur,yes
sonia_khanna137@yahoo.com,Sonia Khanna,4,2185.68,2024-12-31,Pune,no
suresh_trivedi138@hotmail.com,suresh trivedi,0,0.0,2026-02-25,Mumbai,yes
sonia.sheikh140@hotmail.com,Sonia S.,10,3583.3,2024-06-20,Jaipur,yes
tanyadas142@outlook.com,Tanya Das,7,4450.46,2025-05-31,Indore,no
ananya.saxena143@rediffmail.com,Ananya Saxena,3,1721.92,2025-02-12,Chandigarh,yes
aditya_mishra145@outlook.com,Aditya Mishra,5,3079.82,2025-08-07,Jaipur,yes
faisalbose147@rediffmail.com,Faisal Bose,4,2214.05,2025-05-08,Bengaluru,yes
harish_agarwal148@yahoo.com,Harish Agarwal,16,4713.34,2024-11-03,Chandigarh,yes
deepak.sheikh149@hotmail.com,Deepak Sheikh,14,3930.04,2024-10-20,Chandigarh,yes
riya_hussain150@yahoo.com,Riya H.,7,4965.37,2024-12-16,Jaipur,yes
prakash_das151@gmail.com,Prakash Das,3,1588.01,2024-08-11,Indore,yes
pooja_malhotra152@gmail.com,Pooja M.,0,0.0,2026-02-19,Chennai,yes
pratiksha_khanna155@rediffmail.com,Pratiksha Khanna,1,433.02,2026-02-11,Jaipur,yes
ishitaqureshi156@hotmail.com,Ishita Qureshi,13,7542.9,2025-04-15,Jaipur,yes
deepaktrivedi157@gmail.com,Deepak Trivedi,0,0.0,2025-04-14,Jaipur,yes
latha.menon158@hotmail.com,Latha M.,0,0.0,2025-10-19,Chennai,yes
rajeshgupta159@gmail.com,R. Gupta,14,4933.64,2026-04-11,Hyderabad,yes
abhishek_patel161@rediffmail.com,Abhishek Patel,10,7162.08,2025-03-25,Chandigarh,yes
abhishekbansal162@gmail.com,Abhishek Bansal,7,2783.45,2025-10-04,Surat,yes
ritu_trivedi163@hotmail.com,Ritu Trivedi,11,4900.56,2026-04-10,Ahmedabad,yes
vinay.gupta164@rediffmail.com,Vinay Gupta,4,1788.75,2025-05-06,Kochi,yes
omarpatel166@hotmail.com,O. Patel,9,2990.21,2026-04-06,Indore,yes
omar_joshi167@rediffmail.com,Omar J.,0,0.0,2025-10-20,Mumbai,yes
komal.rao170@rediffmail.com,Komal Rao,11,3297.08,2025-01-01,Delhi,no
tarunnaidu172@outlook.com,tarun naidu,2,1012.1,2025-05-15,Gurugram,yes
irman_qureshi176@hotmail.com,Imran Q.,1,496.2,2024-11-16,Delhi,yes
aishwarya_choudhary178@yahoo.com,Aishwarya Choudhary,1,456.05,2024-09-03,Delhi,yes
ritu_joshi180@gmail.com,Ritu Joshi,1,573.6,2026-01-10,Chandigarh,yes
amit.patel182@rediffmail.com,Amit Patel,5,1969.78,2026-03-24,Mumbai,yes
nehakumar183@hotmail.com,Neha Kumar,24,7905.3,2025-12-02,Surat,yes
sonia_joshi184@outlook.com,Sonia Joshi,4,2117.11,2025-04-12,Jaipur,yes
omar.khanna185@gmail.com,Omar Khanna,2,1119.4,2025-09-19,Mumbai,yes
sureshsharma186@hotmail.com,Suresh Sharma,0,0.0,2024-10-20,Chandigarh,no
madhuri_sharma189@rediffmail.com,Madhuri Sharma,5,3427.99,2026-02-04,Indore,yes
harish.singh190@yahoo.com,H. Singh,3,1087.99,2024-08-02,Ahmedabad,no
anjali.banerjee191@hotmail.com,anjali banerjee,5,1428.07,2025-01-17,Gurugram,yes
nehadas193@yahoo.com,Neha Das,0,0.0,2025-12-15,Surat,no
tarun_gupta194@outlook.com,T. Gupta,8,5390.34,2025-06-19,Chandigarh,yes
gaurav.snigh195@outlook.com,G. Singh,0,0.0,2025-12-29,Kochi,yes
prakashsubramanian196@rediffmail.com,Prakash Subramanian,0,0.0,2026-05-02,Pune,yes
yash.verma198@rediffmail.com,Yash Verma,17,11707.25,2026-02-16,Bengaluru,yes
tanya_ahme1d99@rediffmail.com,Tanya Ahmed,0,0.0,2026-02-03,Chandigarh,yes
rohit.trivedi200@hotmail.com,R. Trivedi,2,751.49,2026-02-16,Surat,yes
pratiksha.shah202@gmail.com,Pratiksha Shah,5,1471.71,2024-11-01,Kochi,no
riyakapoor203@yahoo.com,Riya Kapoor,0,0.0,2026-03-21,Indore,yes
prakashtiwari204@rediffmail.com,Prakash Tiwari,0,0.0,2025-01-23,Jaipur,yes
sanjaychatterjee205@outlook.com,Sanjay Chatterjee,4,1868.78,2025-11-27,Pune,yes
harish.bansal206@yahoo.com,H. Bansal,0,0.0,2024-11-08,Kolkata,yes
nitin.rao207@outlook.com,Nitin Rao,5,2927.06,2026-02-25,Bengaluru,yes
sapna_rao209@rediffmail.com,Sapna Rao,0,0.0,2025-06-03,Jaipur,yes
neha_khanna212@gmail.com,Neha Khanna,5,1520.5,2024-09-20,Pune,no
arjunmalhotra214@yahoo.com,arjun malhotra,20,8681.34,2025-11-30,Chennai,no
kavyachatterjee215@outlook.com,Kavya Chatterjee,5,2696.96,2024-10-30,Noida,yes
sushma.iyer216@yahoo.com,Sushma Iyer,0,0.0,2026-04-25,Delhi,yes
ritu.bose218@rediffmail.com,Ritu Bose,1,484.45,2026-02-26,Kochi,no
tarunbansal219@outlook.com,Tarun Bansal,1,451.73,2025-12-25,Kolkata,no
siddharth_verma221@hotmail.com,Siddharth Verma,5,2920.41,2025-05-27,Chandigarh,yes
jaya_nair222@outlook.com,Jaya Nair,8,2857.62,2024-07-23,Delhi,no
aditya.krishnan223@gmail.com,Aditya Krishnan,14,4958.85,2026-05-08,Jaipur,yes
anil.mehta225@gmail.com,Anil Mehta,6,3351.15,2025-03-14,Kochi,yes
smitakapoor226@rediffmail.com,Smita Kapoor,0,0.0,2024-07-25,Chennai,yes
ananyaali227@gmail.com,Ananya Ali,9,3334.52,2024-08-23,Indore,yes
akash.sheikh228@rediffmail.com,Akash Sheikh,3,849.86,2025-08-13,Chandigarh,yes
tara.ahmed229@yahoo.com,Tara Ahmed,0,0.0,2025-02-27,Indore,no
nishaqureshi230@gmail.com,Nisha Qureshi,2,1206.55,2025-09-10,Kolkata,yes
ananya_qureshi231@gmail.com,Ananya Qureshi,9,3913.65,2025-10-19,Gurugram,yes
zara.bansal233@rediffmail.com,Zara Bansal,0,0.0,2025-03-14,Pune,no
vikrammenon235@outlook.com,V. Menon,20,8793.95,2025-04-18,Chandigarh,no
sandeep_joshi236@outlook.com,sandeep joshi,0,0.0,2026-03-01,Mumbai,no
naveenmishra237@rediffmail.com,Naveen M.,19,5582.4,2024-08-02,Kochi,no
rakesh_iyer239@yahoo.com,Rakesh Iyer,8,3504.06,2025-02-22,Delhi,yes
adityaagarwal240@yahoo.com,Aditya Agarwal,0,0.0,2025-12-04,Hyderabad,no
rashmikapoor243@outlook.com,R. Kapoor,4,2409.0,2025-05-20,Kochi,yes
latha.patel244@gmail.com,Latha Patel,4,1329.51,2025-06-13,Kolkata,yes
nikhil_khanna246@yahoo.com,Nikhil Khanna,8,2410.46,2025-04-01,Kolkata,yes
karthik.yadav247@hotmail.com,Karthik Yadav,1,411.32,2025-01-10,Surat,yes
tara.ali248@gmail.com,Tara Ali,11,4879.55,2024-06-28,Bengaluru,yes
gauravsubramanian249@yahoo.com,Gaurav Subramanian,1,698.69,2025-02-28,Bengaluru,yes
rekha.qureshi250@hotmail.com,Rekha Q.,8,4293.04,2025-09-27,Delhi,yes
sureshmenon251@rediffmail.com,Suresh Menon,4,1896.58,2026-01-21,Surat,yes
tara.krishnan252@yahoo.com,Tara K.,3,1931.04,2024-09-06,Pune,yes
sapna.malhotra254@hotmail.com,Sapna Malhotra,12,4801.61,2024-07-30,Gurugram,yes
madhuri_bhat257@outlook.com,Madhuri Bhat,4,1971.45,2025-01-19,Gurugram,yes
gaurav_ahmed259@yahoo.com,Gaurav Ahmed,8,2839.16,2025-12-29,Kochi,no
pranav.gupta262@hotmail.com,Pranav G.,13,8925.92,2025-10-05,Surat,yes
rashmi_mukherjee264@hotmail.com,R. Mukherjee,15,4536.74,2026-03-30,Ahmedabad,yes
geetaroy267@rediffmail.com,Geeta Roy,14,8294.38,2025-12-10,Surat,yes
mohan_malhotra269@yahoo.com,Mohan Malhotra,2,710.12,2024-12-04,Ahmedabad,no
rahul_roy271@rediffmail.com,R. Roy,0,0.0,2025-10-08,Delhi,yes
smitashah273@yahoo.com,Smita Shah,0,0.0,2025-08-01,Chandigarh,yes
geetaahmed277@hotmail.com,Geeta Ahmed,3,2024.77,2025-06-01,Delhi,yes
megha_mukherjee279@outlook.com,Megha Mukherjee,4,2352.52,2024-09-11,Kolkata,yes
anjaliagarwal280@gmail.com,Anjali Agarwal,16,10717.22,2025-10-24,Ahmedabad,no
prakash.rao281@rediffmail.com,Prakash Rao,1,310.04,2025-11-13,Chennai,yes
omar.ali282@rediffmail.com,Omar Ali,9,5487.83,2024-12-15,Jaipur,yes
pallavisingh283@hotmail.com,Pallavi Singh,8,5530.41,2025-08-03,Ahmedabad,yes
anjalipillai285@hotmail.com,Anjali Pillai,5,2423.99,2025-01-13,Noida,no
sanjay.sen290@outlook.com,Sanjay Sen,0,0.0,2025-03-16,Kolkata,yes
pranav.pandey291@outlook.com,Pranav Pandey,6,3751.63,2026-04-24,Noida,no
rit_usaxena292@yahoo.com,Ritu Saxena,2,815.71,2025-03-14,Mumbai,yes
kiran_desai923@outlook.com,Kiran Desai,0,0.0,2024-06-23,Gurugram,yes
meeragupta295@rediffmail.com,Meera G.,13,6350.62,2024-10-13,Hyderabad,no
ritu.sharma296@gmail.com,Ritu Sharma,10,6655.47,2024-08-25,Kolkata,yes
kunal_trivedi300@yahoo.com,Kunal Trivedi,1,393.91,2025-08-08,Hyderabad,yes
komal.sharma301@yahoo.com,Komal S.,3,2039.29,2025-03-08,Kochi,yes
mohan_naidu302@hotmail.com,Mohan Naidu,16,11506.71,2024-08-16,Ahmedabad,yes
kiran.das303@rediffmail.com,Kiran Das,0,0.0,2024-07-12,Chandigarh,yes
aliyasharm3a05@rediffmail.com,Aliya Sharma,8,4513.39,2025-01-22,Kolkata,no
sushma_pillai306@hotmail.com,Sushma Pillai,1,414.78,2024-11-20,Hyderabad,yes
karthik.trivedi308@hotmail.com,Karthik Trivedi,22,6922.34,2026-04-21,Chennai,no
sandeepbhat309@rediffmail.com,Sandeep Bhat,5,2853.06,2025-08-23,Bengaluru,yes
ishitaquershi310@hotmail.com,I. Qureshi,0,0.0,2025-12-14,Jaipur,no
neha_kumar311@hotmail.com,Neha Kumar,0,0.0,2025-08-21,Hyderabad,yes
harishkhanna312@gmail.com,Harish Khanna,0,0.0,2026-05-01,Chandigarh,yes
rohit.malhotra313@outlook.com,Rohit Malhotra,3,1590.18,2025-11-05,Kolkata,yes
suresh_patel314@yahoo.com,Suresh Patel,13,3865.33,2024-11-24,Gurugram,yes
priyakhan315@yahoo.com,Priya Khan,13,4100.38,2025-05-22,Pune,yes
rahul.yadav317@gmail.com,Rahul Yadav,9,6148.29,2026-01-09,Surat,yes
vinay_mehta318@yahoo.com,Vinay Mehta,15,5408.63,2024-08-30,Chennai,yes
rahul.trivedi319@outlook.com,rahul trivedi,14,9412.3,2025-07-08,Chennai,no
sapna_reddy320@hotmail.com,Sapna Reddy,7,3213.4,2025-07-10,Pune,yes
meghasheikh321@outlook.com,Megha Sheikh,0,0.0,2024-10-11,Pune,yes
pranav.kumar323@outlook.com,Pranav Kumar,4,1491.25,2024-07-20,Surat,no
abhishek_khanna324@rediffmail.com,Abhishek Khanna,11,3509.71,2025-03-13,Kolkata,yes
megha.rao325@rediffmail.com,Megha R.,3,2046.5,2025-09-03,Mumbai,yes
pooja_mishra326@yahoo.com,Pooja Mishra,23,16402.36,2024-10-07,Surat,yes
tara_menon328@rediffmail.com,Tara Menon,3,1180.75,2024-10-04,Jaipur,yes
pooja.desai332@outlook.com,Pooja Desai,10,3777.25,2025-11-14,Kolkata,yes
mainsh_mehta333@gmail.com,Manish Mehta,0,0.0,2025-03-27,Chennai,no
arjun_subramanian334@outlook.com,Arjun Subramanian,13,4530.18,2025-05-27,Surat,yes
harish.malhotra335@outlook.com,Harish Malhotra,14,4260.05,2024-12-12,Kolkata,yes
meerajoshi336@rediffmail.com,Meera Joshi,0,0.0,2024-09-04,Kochi,yes
mohapnandey338@outlook.com,Mohan Pandey,8,3275.52,2025-01-20,Bengaluru,yes
neha_pillai339@gmail.com,Neha Pillai,3,1916.53,2024-11-24,Gurugram,yes
varun_mukherjee341@hotmail.com,varun mukherjee,0,0.0,2024-11-15,Indore,yes
vinaysingh343@hotmail.com,Vinay Singh,1,602.24,2024-06-30,Surat,no
priya.choudhary344@outlook.com,Priya Choudhary,10,6597.12,2024-09-13,Surat,yes
sandeep.naidu346@hotmail.com,Sandeep N.,2,952.96,2025-12-30,Surat,yes
anil.hussain347@rediffmail.com,anil hussain,5,1416.0,2024-07-27,Gurugram,no
geeta.naidu349@gmail.com,Geeta Naidu,0,0.0,2025-06-27,Ahmedabad,yes
meera_kapoor351@hotmail.com,Meera Kapoor,9,4277.6,2024-12-24,Surat,yes
rohitmenon352@yahoo.com,Rohit Menon,7,4937.31,2026-02-19,Mumbai,yes
sandeep_agarwal353@gmail.com,sandeep agarwal,2,1222.61,2025-12-13,Mumbai,yes
ritushah354@hotmail.com,Ritu S.,5,2242.48,2026-03-15,Delhi,yes
imransheikh358@hotmail.com,I. Sheikh,0,0.0,2024-10-19,Delhi,no
sushma_tiwari360@gmail.com,Sushma Tiwari,1,401.68,2024-08-08,Indore,yes
aarti_ahmed362@yahoo.com,Aarti Ahmed,0,0.0,2024-08-08,Bengaluru,no
amit.yadav365@rediffmail.com,Amit Yadav,1,324.35,2025-07-27,Chennai,no
anilkapoor366@hotmail.com,Anil Kapoor,0,0.0,2025-04-11,Ahmedabad,no
akash_naidu367@rediffmail.com,Akash Naidu,3,2072.5,2024-12-28,Mumbai,yes
tarunroy369@yahoo.com,Tarun Roy,8,3179.8,2026-02-01,Kochi,yes
ishitanaidu370@hotmail.com,ishita naidu,12,7734.71,2026-03-22,Kolkata,no
lakshmi.kumar372@yahoo.com,Lakshmi Kumar,6,2401.83,2025-04-16,Surat,yes
sushma.sen374@rediffmail.com,Sushma Sen,10,6682.22,2025-03-02,Ahmedabad,no
ayesha.khanna375@rediffmail.com,Ayesha Khanna,8,4209.36,2025-06-30,Delhi,yes
rohanverma376@outlook.com,rohan verma,1,301.29,2025-08-24,Mumbai,yes
nikhil.joshi377@yahoo.com,Nikhil Joshi,0,0.0,2024-12-22,Mumbai,no
sandeep_sen378@outlook.com,Sandeep Sen,5,3300.37,2025-02-08,Kochi,yes
ishitaagarwal385@rediffmail.com,Ishita Agarwal,4,2819.91,2024-09-22,Hyderabad,yes
geeta.bhat386@outlook.com,Geeta Bhat,4,2597.39,2026-01-10,Pune,yes
akash_agarwal388@hotmail.com,Akash Agarwal,0,0.0,2024-06-23,Hyderabad,yes
akash_khanna390@rediffmail.com,Akash Khanna,3,979.81,2025-12-02,Bengaluru,yes
jayanair391@rediffmail.com,Jaya Nair,6,2211.09,2025-11-22,Chandigarh,no
faiaslali392@rediffmail.com,Faisal Ali,0,0.0,2025-07-11,Indore,yes
tarun_qureshi393@outlook.com,Tarun Qureshi,6,3088.75,2025-06-29,Delhi,yes
ananya_shah396@yahoo.com,Ananya Shah,9,2625.68,2025-07-29,Mumbai,yes
mohantrivedi398@rediffmail.com,Mohan Trivedi,2,604.8,2026-02-04,Delhi,no
prakash_hussain399@hotmail.com,Prakash Hussain,5,2932.68,2024-12-01,Pune,yes
jayaagarwal400@rediffmail.com,Jaya Agarwal,6,3778.97,2025-05-23,Ahmedabad,yes
gauravsen401@yahoo.com,Gaurav S.,0,0.0,2025-10-08,Kochi,yes
varun.bansal402@yahoo.com,Varun Bansal,0,0.0,2026-02-21,Kochi,yes
mohanhussain403@hotmail.com,Mohan Hussain,12,6531.81,2025-03-04,Bengaluru,yes
vinay_agarwal406@hotmail.com,Vinay Agarwal,0,0.0,2025-12-10,Noida,yes
priyadas408@rediffmail.com,Priya Das,5,2771.66,2025-03-08,Indore,yes
bhavana_joshi409@hotmail.com,Bhavana Joshi,8,3704.11,2025-04-24,Chandigarh,yes
amit.naidu410@outlook.com,Amit Naidu,9,4327.44,2025-10-05,Jaipur,yes
divyatiwari411@gmail.com,Divya Tiwari,1,388.91,2026-04-08,Kochi,yes
pratiksha_gupta412@gmail.com,Pratiksha Gupta,9,5645.89,2024-11-15,Indore,yes
abhishekmehta415@rediffmail.com,A. Mehta,3,1560.05,2025-11-29,Noida,yes
sushma_rao416@yahoo.com,Sushma Rao,2,1272.09,2025-04-29,Ahmedabad,yes
anil_khan417@gmail.com,Anil Khan,8,2676.2,2024-09-13,Noida,yes
ananya_pillai422@yahoo.com,Ananya P.,8,3056.97,2026-04-15,Indore,no
deepak_malhotra424@hotmail.com,Deepak Malhotra,4,1321.32,2026-03-14,Bengaluru,yes
nitin_saxena425@yahoo.com,Nitin S.,0,0.0,2024-09-11,Delhi,no
kunal.joshi426@rediffmail.com,Kunal Joshi,3,1181.1,2024-08-23,Bengaluru,yes
rohan.shah427@outlook.com,Rohan Shah,11,3860.2,2024-08-06,Pune,yes
harish_baenrjee428@rediffmail.com,Harish Banerjee,4,1871.7,2024-12-13,Bengaluru,yes
ishita.ahmed429@rediffmail.com,I. Ahmed,0,0.0,2026-01-17,Bengaluru,yes
aarti.pandey430@rediffmail.com,Aarti Pandey,15,8471.96,2025-03-29,Noida,yes
varun.singh432@gmail.com,varun singh,5,2660.36,2025-06-25,Gurugram,yes
yash.kumar434@rediffmail.com,Yash Kumar,6,1961.81,2025-03-02,Ahmedabad,yes
rohit_malhotra435@hotmail.com,rohit malhotra,1,283.21,2026-02-28,Kolkata,no
rahul_pillai437@hotmail.com,Rahul P.,2,1120.03,2024-12-24,Bengaluru,no
kavyakrishnan438@gmail.com,Kavya Krishnan,0,0.0,2025-07-11,Surat,yes
aishwaryatrivedi439@hotmail.com,Aishwarya Trivedi,10,5169.51,2024-09-29,Chandigarh,yes
tarahussain440@outlook.com,Tara Hussain,12,6078.2,2026-01-24,Mumbai,yes
nisha.patel441@outlook.com,Nisha Patel,4,2102.61,2025-02-28,Kochi,yes
yash.subramanian442@outlook.com,Yash Subramanian,9,2539.48,2025-08-18,Indore,yes
sandeeptiwari444@yahoo.com,Sandeep T.,15,8082.66,2026-03-08,Gurugram,yes
sandeepjoshi445@yahoo.com,Sandeep J.,3,1812.8,2025-05-03,Kochi,yes
meerachoudhary449@gmail.com,Meera Choudhary,4,2701.46,2025-12-17,Chennai,yes
yash.khanna450@hotmail.com,Yash Khanna,10,6723.37,2025-05-01,Indore,yes
vikram_desai451@gmail.com,Vikram Desai,0,0.0,2024-12-11,Indore,yes
pranavhussain452@hotmail.com,pranav hussain,2,1201.66,2025-09-14,Bengaluru,yes
vikram.pillai453@hotmail.com,Vikram Pillai,1,522.65,2026-01-21,Pune,no
meerasubramanian454@gmail.com,Meera Subramanian,0,0.0,2024-10-30,Gurugram,yes
vikram.krisnhan456@outlook.com,Vikram K.,24,9122.54,2024-07-07,Jaipur,yes
priya.kapoor458@outlook.com,Priya Kapoor,19,9572.84,2025-02-09,Ahmedabad,yes
naveen.ali461@rediffmail.com,Naveen Ali,4,1673.98,2024-09-05,Noida,yes
ishtia_tiwari462@hotmail.com,Ishita Tiwari,9,5370.41,2026-03-16,Kochi,yes
rakeshshah466@yahoo.com,Rakesh S.,6,2510.29,2025-11-26,Delhi,yes
snehasingh469@outlook.com,Sneha Singh,4,1820.7,2025-06-28,Surat,yes
ananyayadav471@hotmail.com,Ananya Yadav,2,1132.16,2025-04-19,Kolkata,yes
shreyasubramanian472@outlook.com,Shreya Subramanian,6,3556.05,2025-06-06,Surat,yes
hemantkumar473@yahoo.com,hemant kumar,16,9713.18,2025-03-28,Kolkata,yes
karthik.iyer447@yahoo.com,Karthik Iyer,1,654.62,2026-03-23,Kolkata,no
